coin_id,year,week,date,price,market_cap,volume,ret
balancer,2020,34,2020-08-24,20.742401300000033,150625427.47753915,35368091.73092091,0.246164011095243
balancer,2020,35,2020-08-31,27.569248312056875,204528109.36896247,63134708.2332207,0.3291252017217905
balancer,2020,36,2020-09-07,18.27955282289246,136817313.56642744,61603233.78372913,-0.3369586063433492
balancer,2020,37,2020-09-14,20.45661556458448,156034311.41327366,63496488.02715928,0.11909824943669145
balancer,2020,38,2020-09-21,12.760168856726228,103119537.89920613,70240576.36843148,-0.3762326511714249
balancer,2020,39,2020-09-28,13.03193276678621,106717716.48602423,49936989.71161325,0.021297830233393045
balancer,2020,40,2020-10-05,13.543052855387518,110937450.13127112,47842613.81816737,0.03922058974275644
balancer,2020,41,2020-10-12,13.198931948472659,108339436.94400078,36885472.49209867,-0.025409404407512604
balancer,2020,42,2020-10-19,11.276216812698884,92577561.13075471,21947010.02080279,-0.14567202431832116
balancer,2020,43,2020-10-26,9.938134985267732,81550708.45419592,20229716.92778818,-0.11866407410012292
balancer,2020,44,2020-11-02,7.83984536841952,64497269.46004029,17722845.486735296,-0.21113514959886448
balancer,2020,45,2020-11-09,8.764001275229287,71467981.52846013,19630094.930679586,0.11787935391333781
balancer,2020,46,2020-11-16,10.960948038510326,103151043.13288514,35355464.85935862,0.25067850794254487
balancer,2020,47,2020-11-23,14.573492141462065,139107904.49923608,50396889.45099074,0.3295831793253088
balancer,2020,48,2020-11-30,12.418634097007462,121732607.26197185,37470827.261250064,-0.14786147503548308
balancer,2020,49,2020-12-07,11.118316235986308,112507168.73419973,25710471.691429682,-0.10470699521894233
balancer,2020,50,2020-12-14,10.074837878438737,103549419.62287393,20766438.60777927,-0.09385219267016143
balancer,2020,51,2020-12-21,10.359328370260185,108708130.53717834,39472425.228405766,0.028237724046189294
balancer,2020,52,2020-12-28,11.452646841057394,123149677.89199874,31141311.849875577,0.10553951296069886
balancer,2021,1,2021-01-04,14.848349380966908,159273258.21825784,38575485.20855521,0.29649936709268143
balancer,2021,2,2021-01-11,14.381069197414156,154309594.11471224,67870668.0855338,-0.03147017702531485
balancer,2021,3,2021-01-18,18.479045360438267,197759836.32758117,69091717.01340683,0.2849562926629241
balancer,2021,4,2021-01-25,16.03884624192886,173157582.4781265,65936327.66925913,-0.13205222839777342
balancer,2021,5,2021-02-01,29.44201628839499,317983440.62572116,117623165.51727185,0.8356692148732914
balancer,2021,6,2021-02-08,35.08787213558776,375136306.1124668,146582091.77101567,0.19176186141226226
balancer,2021,7,2021-02-15,37.065020357536746,398990070.8480499,155087691.46342912,0.05634847887922145
balancer,2021,8,2021-02-22,31.666101761419544,341571870.00977266,125559745.92730795,-0.1456607481673592
balancer,2021,9,2021-03-01,32.08694948760392,348599307.8483028,98354143.69071312,0.013290165280056998
balancer,2021,10,2021-03-08,38.62153801602156,418233875.2022265,115029932.4131112,0.20365253265793104
balancer,2021,11,2021-03-15,45.57207835997267,492284624.93136543,180946006.78243405,0.17996539498421282
balancer,2021,12,2021-03-22,40.20618979457893,437181560.579937,158665291.52504873,-0.11774509213753048
balancer,2021,13,2021-03-29,48.78122075064021,527010195.27864933,58534434.08065359,0.21327638853302777
balancer,2021,14,2021-04-05,42.583846366204945,462883476.97359324,60586321.79524492,-0.1270442659915174
balancer,2021,15,2021-04-12,54.73354330921362,593181282.9377465,77124444.12709156,0.2853123421150332
balancer,2021,16,2021-04-19,46.00956368403168,497578238.3545472,144491215.4419685,-0.1593900028707511
balancer,2021,17,2021-04-26,48.36217411720745,521366171.1488693,95010819.93421061,0.05113307418718849
balancer,2021,18,2021-05-03,57.06878876284533,615723127.7354956,111113260.05720057,0.18002943011902417
balancer,2021,19,2021-05-10,51.94847412062692,585455016.0897777,92211132.3488588,-0.08972180333976165
balancer,2021,20,2021-05-17,28.238913725910948,311179908.28696847,75833166.72049396,-0.456405328473387
balancer,2021,21,2021-05-24,27.613110216130437,298102205.45942134,53764790.75094728,-0.022161033383033324
balancer,2021,22,2021-05-31,25.149486063498387,271762011.6475766,30242475.34290302,-0.08921936476365866
balancer,2021,23,2021-06-07,21.53733420702359,233158397.46163514,26548100.847013973,-0.1436272632909753
balancer,2021,24,2021-06-14,18.482232818432905,199716596.69494334,21232882.166612815,-0.141851417599973
balancer,2021,25,2021-06-21,14.050192166901605,151643997.89236078,24337971.369929083,-0.23980006609975657
balancer,2021,26,2021-06-28,18.740804375680387,202449515.87742603,35153437.52346973,0.33384683661683834
balancer,2021,27,2021-07-05,20.74100547141859,224015585.38773704,32083711.7724585,0.1067297355888217
balancer,2021,28,2021-07-12,16.86613773349545,182110015.91354552,16109325.022687832,-0.18682159566771073
balancer,2021,29,2021-07-19,14.98681340750018,161298590.17309475,17891508.71726037,-0.11142588514873852
balancer,2021,30,2021-07-26,16.72643145590288,180648533.03141028,20652007.391301177,0.11607658019763578
balancer,2021,31,2021-08-02,19.17818498219794,207282091.07050905,27672715.045499254,0.1465795936663956
balancer,2021,32,2021-08-09,21.822148531548088,235617774.9625765,49491560.28578263,0.13786307472810355
balancer,2021,33,2021-08-16,22.493302052550984,243415873.89663818,54986194.999647535,0.030755611439112762
balancer,2021,34,2021-08-23,23.432742359119263,253068481.48052815,58099089.09357803,0.04176533549291572
balancer,2021,35,2021-08-30,26.733059927871746,287706584.8158514,47674389.68552543,0.14084213952312363
balancer,2021,36,2021-09-06,22.415814267691047,242815634.1730174,78658217.14082785,-0.16149463143497322
balancer,2021,37,2021-09-13,23.818300473904852,257265766.55127758,43335619.52803176,0.06256681954379295
balancer,2021,38,2021-09-20,18.459404845216035,199165962.91910496,37900871.651188195,-0.2249906803619336
balancer,2021,39,2021-09-27,16.412333177727167,177059987.66354543,31556325.435208984,-0.11089586498881032
balancer,2021,40,2021-10-04,19.07074090338126,205811713.9642771,27137455.73330447,0.1619762222023231
balancer,2021,41,2021-10-11,18.43901669790171,199145864.16749412,25922854.90085965,-0.033125310059010094
balancer,2021,42,2021-10-18,19.797403743029015,213761654.07215956,30683365.92304533,0.07366916942387092
balancer,2021,43,2021-10-25,20.83220761284848,225049301.9960745,47797605.56678792,0.05226967552166206
balancer,2021,44,2021-11-01,24.595124948946733,265461799.99440032,56997847.023039594,0.18062979238827448
balancer,2021,45,2021-11-08,21.084793007499464,226483907.20324206,43889752.407883205,-0.14272470453936836
balancer,2021,46,2021-11-15,19.028287573602547,204065395.168986,26553708.679488707,-0.09753500701503004
balancer,2021,47,2021-11-22,18.715683877832706,201962538.735848,30333576.64418747,-0.016428367217001028
balancer,2021,48,2021-11-29,18.24291661706156,197110859.36294985,35944759.935998596,-0.025260485476093275
balancer,2021,49,2021-12-06,14.363891543463671,155003163.12160003,30480459.503420293,-0.21263184802204593
